2025-04-02 10:00:10,680 INFO: Load model weights from ga_optimized_weights.pth 
2025-04-02 10:00:11,721 INFO: ====================Start training===================== 
2025-04-02 10:51:37,361 INFO: Epoch 139, Val_Loss: 0.8580 
2025-04-02 10:51:59,848 INFO: Epoch 140, Val_Loss: 0.9533 
2025-04-02 10:52:21,279 INFO: Epoch 141, Val_Loss: 0.8713 
2025-04-02 10:52:43,147 INFO: Epoch 142, Val_Loss: 1.0013 
2025-04-02 10:53:05,290 INFO: Epoch 143, Val_Loss: 0.8589 
2025-04-02 10:53:28,741 INFO: Epoch 144, Val_Loss: 0.9408 
2025-04-02 10:54:00,911 INFO: Epoch 145, Val_Loss: 0.8930 
2025-04-02 10:54:34,282 INFO: Epoch 146, Val_Loss: 0.9182 
2025-04-02 10:54:57,932 INFO: Epoch 147, Val_Loss: 0.9299 
2025-04-02 10:55:21,299 INFO: Epoch 148, Val_Loss: 0.9926 
2025-04-02 10:55:43,294 INFO: Epoch 149, Val_Loss: 0.9313 
2025-04-02 10:56:03,956 INFO: Epoch 150, Val_Loss: 0.8824 
2025-04-02 10:56:25,802 INFO: Epoch 151, Val_Loss: 0.8817 
2025-04-02 10:56:47,306 INFO: Epoch 152, Val_Loss: 0.8681 
2025-04-02 10:57:08,366 INFO: Epoch 153, Val_Loss: 0.9908 
2025-04-02 10:57:30,175 INFO: Epoch 154, Val_Loss: 0.9162 
2025-04-02 10:57:51,452 INFO: Epoch 155, Val_Loss: 0.8743 
2025-04-02 10:58:12,742 INFO: Epoch 156, Val_Loss: 0.8474 
2025-04-02 10:58:35,081 INFO: Epoch 157, Val_Loss: 0.8714 
2025-04-02 10:58:57,733 INFO: Epoch 158, Val_Loss: 0.8931 
2025-04-02 10:59:19,175 INFO: Epoch 159, Val_Loss: 0.9295 
2025-04-02 10:59:40,659 INFO: Epoch 160, Val_Loss: 0.8608 
2025-04-02 11:00:02,542 INFO: Epoch 161, Val_Loss: 0.9197 
2025-04-02 11:00:24,659 INFO: Epoch 162, Val_Loss: 0.8638 
2025-04-02 11:00:45,685 INFO: Epoch 163, Val_Loss: 0.9342 
2025-04-02 11:01:07,908 INFO: Epoch 164, Val_Loss: 1.1299 
2025-04-02 11:01:31,077 INFO: Epoch 165, Val_Loss: 0.8810 
2025-04-02 11:01:52,573 INFO: Epoch 166, Val_Loss: 0.8566 
2025-04-02 11:02:14,505 INFO: Epoch 167, Val_Loss: 0.8643 
2025-04-02 11:02:37,370 INFO: Epoch 168, Val_Loss: 0.8713 
2025-04-02 11:03:00,289 INFO: Epoch 169, Val_Loss: 0.9599 
2025-04-02 11:03:24,514 INFO: Epoch 170, Val_Loss: 0.8695 
2025-04-02 11:03:48,255 INFO: Epoch 171, Val_Loss: 0.9335 
2025-04-02 11:04:14,446 INFO: Epoch 172, Val_Loss: 0.8966 
2025-04-02 11:04:40,214 INFO: Epoch 173, Val_Loss: 0.8918 
2025-04-02 11:05:03,975 INFO: Epoch 174, Val_Loss: 0.9635 
2025-04-02 11:05:26,307 INFO: Epoch 175, Val_Loss: 0.9395 
2025-04-02 11:05:48,024 INFO: Epoch 176, Val_Loss: 0.8833 
2025-04-02 11:06:12,506 INFO: Epoch 177, Val_Loss: 0.9118 
2025-04-02 11:06:37,929 INFO: Epoch 178, Val_Loss: 0.8827 
2025-04-02 11:07:02,092 INFO: Epoch 179, Val_Loss: 0.8717 
2025-04-02 11:07:24,920 INFO: Epoch 180, Val_Loss: 0.8570 
2025-04-02 11:07:47,126 INFO: Epoch 181, Val_Loss: 0.9528 
2025-04-02 11:08:10,827 INFO: Epoch 182, Val_Loss: 0.8518 
2025-04-02 11:08:34,475 INFO: Epoch 183, Val_Loss: 0.8779 
2025-04-02 11:08:57,011 INFO: Epoch 184, Val_Loss: 0.9132 
2025-04-02 11:09:22,689 INFO: Epoch 185, Val_Loss: 0.9086 
2025-04-02 11:09:48,552 INFO: Epoch 186, Val_Loss: 0.8858 
2025-04-02 11:10:10,683 INFO: Epoch 187, Val_Loss: 0.9139 
2025-04-02 11:10:31,913 INFO: Epoch 188, Val_Loss: 0.8664 
2025-04-02 11:10:53,656 INFO: Epoch 189, Val_Loss: 0.9032 
2025-04-02 11:11:14,922 INFO: Epoch 190, Val_Loss: 0.8746 
2025-04-02 11:11:36,130 INFO: Epoch 191, Val_Loss: 0.9614 
2025-04-02 11:11:57,443 INFO: Epoch 192, Val_Loss: 0.8730 
2025-04-02 11:12:18,436 INFO: Epoch 193, Val_Loss: 0.9305 
2025-04-02 11:12:39,751 INFO: Epoch 194, Val_Loss: 0.8613 
2025-04-02 11:13:01,566 INFO: Epoch 195, Val_Loss: 0.8731 
2025-04-02 11:13:22,437 INFO: Epoch 196, Val_Loss: 0.8606 
2025-04-02 11:13:44,343 INFO: Epoch 197, Val_Loss: 1.0770 
2025-04-02 11:14:06,397 INFO: Epoch 198, Val_Loss: 0.8739 
